Counter,AvgRuntime(sec),MsgTimeMin(ms),MsgTimeMax(ms),MsgTimeMean(ms),MsgTimeStd(ms),AvgBandwidth(msg/sec),TimeStamp
115,100.074,2.501,29.251,16.735,1.044,0.999,09/14/24-17:48:43
116,100.074,1.967,27.667,13.191,1.031,0.999,09/14/24-17:50:53
117,100.075,2.042,28.55,17.582,0.995,0.999,09/14/24-17:53:03
118,100.074,4.194,30.632,18.96,1.243,0.999,09/14/24-17:55:13
119,100.077,1.57,28.675,15.868,3.417,0.999,09/14/24-17:57:23
120,100.071,3.542,29.452,17.514,1.297,0.999,09/14/24-17:59:34
121,100.077,2.195,28.248,16.877,0.825,0.999,09/14/24-18:01:44
122,100.07,2.068,30.948,18.677,1.354,0.999,09/14/24-18:03:54
123,100.074,2.948,33.829,17.353,0.925,0.999,09/14/24-18:06:04
124,100.075,4.93,30.498,18.163,1.199,0.999,09/14/24-18:08:14
125,100.078,5.63,30.903,17.745,1.044,0.999,09/14/24-18:10:24
126,100.076,1.782,26.872,14.02,4.134,0.999,09/14/24-18:12:34
127,100.073,2.043,29.362,16.14,1.195,0.999,09/14/24-18:14:44
128,100.064,2.554,29.131,14.228,0.947,0.999,09/14/24-18:16:55
129,100.079,3.521,29.848,17.028,0.952,0.999,09/14/24-18:19:05
130,100.075,2.185,20.81,11.874,3.326,0.999,09/14/24-18:21:15
131,100.076,2.51,30.144,17.769,1.272,0.999,09/14/24-18:23:25
132,100.073,2.219,30.26,17.547,0.907,0.999,09/14/24-18:25:35
133,100.071,1.833,29.532,13.831,0.851,0.999,09/14/24-18:27:45
134,100.076,1.845,29.413,16.178,2.866,0.999,09/14/24-18:29:55
135,100.061,0.722,29.715,15.492,0.855,0.999,09/14/24-18:32:06
136,100.08,3.043,31.072,17.133,0.869,0.999,09/14/24-18:34:16
137,100.076,1.486,30.695,15.92,1.112,0.999,09/14/24-18:36:26
138,100.084,2.213,29.993,18.153,1.153,0.999,09/14/24-18:38:36
139,100.075,2.534,40.084,17.197,1.082,0.999,09/14/24-18:40:46
140,100.083,3.717,29.473,17.085,0.913,0.999,09/14/24-18:42:56
141,100.074,3.675,29.46,17.691,1.087,0.999,09/14/24-18:45:06
142,100.077,2.922,32.188,18.669,1.167,0.999,09/14/24-18:47:16
143,100.084,1.457,28.368,14.128,2.972,0.999,09/14/24-18:49:27
144,100.07,1.692,27.687,10.506,3.086,0.999,09/14/24-18:51:37
145,100.07,2.937,31.386,16.641,0.854,0.999,09/14/24-18:53:47
146,100.066,1.93,29.311,17.284,1.886,0.999,09/14/24-18:55:57
147,100.08,1.232,27.712,14.644,4.137,0.999,09/14/24-18:58:07
148,100.081,3.578,35.88,19.381,1.243,0.999,09/14/24-19:00:17
149,100.068,2.275,32.181,16.64,1.075,0.999,09/14/24-19:02:27
150,100.069,1.569,29.025,15.153,3.579,0.999,09/14/24-19:04:37
151,100.071,1.385,32.992,12.737,0.797,0.999,09/14/24-19:06:48
152,100.076,4.888,29.815,18.459,1.279,0.999,09/14/24-19:08:58
153,100.074,4.037,36.422,18.474,1.318,0.999,09/14/24-19:11:08
154,100.073,1.882,28.233,16.492,1.627,0.999,09/14/24-19:13:18
155,100.076,6.247,30.726,17.758,0.989,0.999,09/14/24-19:15:28
156,100.073,1.305,19.08,9.721,2.304,0.999,09/14/24-19:17:38
157,100.065,1.336,32.303,15.975,1.369,0.999,09/14/24-19:19:48
158,100.072,5.211,32.499,19.02,1.256,0.999,09/14/24-19:21:59
159,100.082,2.276,30.49,16.829,1.182,0.999,09/14/24-19:24:09
160,100.081,2.178,31.311,17.591,1.644,0.999,09/14/24-19:26:19
161,100.073,1.375,24.511,11.8,3.549,0.999,09/14/24-19:28:29
162,100.089,1.908,29.159,17.607,2.341,0.999,09/14/24-19:30:39
163,100.079,3.795,30.255,18.717,1.183,0.999,09/14/24-19:32:49
164,100.081,3.635,30.181,17.894,0.999,0.999,09/14/24-19:34:59
165,100.076,3.53,32.996,17.183,1.102,0.999,09/14/24-19:37:09
166,100.077,3.438,29.009,17.586,1.068,0.999,09/14/24-19:39:20
167,100.075,1.944,29.84,17.301,0.946,0.999,09/14/24-19:41:30
168,100.077,2.949,29.561,17.478,0.969,0.999,09/14/24-19:43:40
169,100.076,3.123,32.89,17.794,1.043,0.999,09/14/24-19:45:50
170,100.077,2.324,31.125,16.931,0.86,0.999,09/14/24-19:48:00
171,100.075,2.996,28.556,16.145,0.725,0.999,09/14/24-19:50:10
172,100.069,1.691,29.528,13.942,2.74,0.999,09/14/24-19:52:20
173,100.077,3.462,35.146,17.652,1.066,0.999,09/14/24-19:54:30
174,100.078,4.982,33.95,18.475,1.229,0.999,09/14/24-19:56:41
175,100.084,1.797,20.358,9.983,0.754,0.999,09/14/24-19:58:51
176,100.071,3.269,29.232,15.705,1.065,0.999,09/14/24-20:01:01
177,100.078,2.872,30.622,18.593,1.134,0.999,09/14/24-20:03:11
178,100.066,5.861,31.454,17.59,0.94,0.999,09/14/24-20:05:21
179,100.08,1.17,26.165,12.782,3.725,0.999,09/14/24-20:07:31
180,100.075,3.528,31.826,17.911,1.208,0.999,09/14/24-20:09:41
181,100.074,1.176,21.591,9.246,1.761,0.999,09/14/24-20:11:52
182,100.067,2.503,30.096,16.699,1.83,0.999,09/14/24-20:14:02
183,100.075,1.196,25.517,12.373,4.074,0.999,09/14/24-20:16:12
